z1,z2,z3,z4,z5,z6,z7,z8
-0.52658325,-0.24593632,0.09760502,-0.19103259,-0.47244892,-0.39666736,0.46162054,-0.06605358
-0.07777145,-0.2582132,0.2634988,0.0407801,-0.62283593,-0.5183321,0.42821604,-0.0066890963
-0.513271,-0.33308163,-0.11378866,-0.15646175,-0.45229012,-0.51796424,0.30396104,-0.10490549
-0.60681444,-0.28629106,-0.20259371,-0.32567218,-0.38706312,-0.47379634,0.13221528,0.05356361
-0.121962756,-0.09360984,0.35087985,0.04373543,-0.65197194,-0.45325145,0.4273178,0.12601782
-0.6181848,-0.29804057,-0.15590994,-0.17080589,-0.39889303,-0.47378743,0.28340366,-0.017699178
-0.2367553,-0.37268022,-0.03629391,-0.13812388,-0.53691137,-0.65916425,0.21102215,-0.052757755
-0.49531862,-0.34130648,-0.12327939,-0.12561123,-0.4774182,-0.5404812,0.27086854,0.053581852
-0.36612016,-0.2900085,0.128783,0.098658204,-0.49748358,-0.44172156,0.5364573,-0.061117377
-0.06227436,-0.3911293,0.003764098,0.0020203504,-0.5205353,-0.6971345,0.21759498,-0.14537627
-0.29831076,-0.052624185,0.21851441,0.15035547,-0.61606556,-0.47508022,0.40647373,0.21148232
-0.5907543,-0.05473761,0.087283686,-0.18105862,-0.51817805,-0.43600917,0.32639045,0.14891961
-0.335559,-0.40764835,-0.1268187,0.0074122013,-0.4553673,-0.6163728,0.29712853,-0.11916793
-0.6165238,-0.054803956,-0.12014593,-0.16164091,-0.46542007,-0.5116822,0.10266014,0.2740993
-0.4423415,0.0019848705,0.10729128,-0.27264848,-0.5927963,-0.5142139,0.16044629,0.22332369
-0.254314,-0.20155703,0.13553067,0.2930417,-0.53941965,-0.48695958,0.48078164,0.080312476
-0.5007259,-0.27103817,-0.25396416,-0.21151589,-0.40633386,-0.61899525,0.03398252,0.06981811
-0.2552386,-0.22937012,0.070244044,-0.27418858,-0.59518033,-0.62271917,0.1795518,0.010914418
-0.5390556,-0.019442795,-0.14747997,-0.09875544,-0.4737749,-0.6176793,0.018458951,0.23099329
-0.058307245,-0.5028765,-0.20882782,-0.039332144,-0.32690337,-0.68799496,0.08639713,-0.29940206
-0.30812204,-0.29331115,0.02106598,-0.014376673,-0.57677495,-0.61024857,0.31170312,0.06684438
-0.5671304,-0.31355458,-0.24121694,-0.17175977,-0.34902418,-0.56664824,0.16272984,-0.087133124
-0.3630333,-0.32355982,0.07402447,-0.23501696,-0.55468225,-0.50778884,0.34808403,-0.014159133
-0.24491754,-0.34062135,-0.08364556,0.032575104,-0.51429474,-0.69804716,0.21510303,-0.041140012
-0.37511703,-0.26634085,0.010148388,0.14676133,-0.52823246,-0.54839826,0.40578148,0.06888252
0.0015553464,-0.482113,-0.049027387,0.05442392,-0.4115888,-0.6643975,0.22758406,-0.27393892
-0.66005635,-0.23504375,-0.03970029,-0.19959377,-0.37655172,-0.3931201,0.3903469,-0.045123357
-0.28474757,-0.09010288,0.16074485,-0.030250086,-0.64959973,-0.57881457,0.27972695,0.177037
-0.5557593,-0.39727345,-0.21165057,-0.25839332,-0.3551325,-0.47446495,0.22627717,-0.103613004
-0.5387557,-0.3689691,-0.33281627,-0.242274,-0.2598979,-0.5400969,0.073399924,-0.1475309
-0.23548745,-0.3798145,0.0424105,-0.28973234,-0.5136609,-0.57344294,0.26406077,-0.16379897
-0.4635597,-0.22597814,-0.17784086,0.043649144,-0.46682814,-0.6529192,0.1671653,0.09369544
-0.5710735,-0.26491,-0.03430062,-0.24728239,-0.4707889,-0.44670284,0.3298843,-0.009941274
-0.39348167,-0.24847814,0.11627679,-0.12942255,-0.583458,-0.4848013,0.40249032,0.0541627
-0.518677,-0.054905962,-0.055844616,-0.029673474,-0.52940243,-0.57752675,0.15893713,0.26301005
-0.24022593,-0.27916583,-0.1172485,-0.15064137,-0.509279,-0.7371727,0.04961792,-0.024549684
-0.57572216,-0.1217351,-0.13318497,-0.2868571,-0.4594354,-0.521639,0.054905117,0.23819089
-0.32453468,-0.29907292,0.10430603,-0.025155379,-0.57626224,-0.51420945,0.42826805,0.00055664027
-0.5690926,-0.33000708,-0.065975115,-0.07866779,-0.3998245,-0.43411225,0.42361945,-0.11759752
-0.03320045,-0.26401767,0.35163257,-0.1341738,-0.5963926,-0.44935188,0.43696404,-0.09250621
-0.68581086,-0.2766565,-0.2036785,-0.34506986,-0.30953172,-0.38631532,0.19291945,-0.03418679
-0.38324004,-0.4262473,0.020583574,-0.19561851,-0.3614836,-0.47809374,0.4131571,-0.27917156
-0.5278777,-0.3856456,-0.11495112,-0.27195418,-0.42487356,-0.45475903,0.29280183,-0.048099678
-0.18409331,-0.204616,0.34661746,-0.024784133,-0.58408815,-0.38794425,0.53348345,-0.024010526
-0.56197315,-0.26455396,-0.049816284,-0.09103471,-0.4722095,-0.4819981,0.3662638,0.015451794
-0.59419477,-0.12464243,-0.2476455,-0.0744672,-0.40096414,-0.5985669,0.045357298,0.15638682
-0.64597374,-0.15469806,-0.05301838,-0.16847704,-0.45910203,-0.45545378,0.30006745,0.07289147
-0.5913354,-0.20143592,-0.24600959,-0.29607487,-0.38010642,-0.5354954,0.0073286076,0.14134173
-0.63486665,-0.26173252,-0.11698124,-0.30517638,-0.40950528,-0.42868704,0.24422728,0.031032525
-0.65084547,-0.2065112,-0.21436691,-0.06681456,-0.38387296,-0.51874936,0.19550404,0.09619385
-0.3258419,-0.29358953,0.19451426,-0.23899381,-0.53380406,-0.42751285,0.45184156,-0.11883751
-0.4536167,-0.30721784,-0.071974665,-0.23800033,-0.51940715,-0.54545957,0.20888434,0.1274266
-0.59466076,-0.36022097,-0.25973612,-0.31845278,-0.31489974,-0.46503776,0.13894066,-0.063078865
-0.67805713,-0.11527007,-0.13472722,-0.20498562,-0.4231407,-0.47524616,0.1662892,0.15091665
-0.12676048,-0.4368119,-0.10625864,-0.1514586,-0.45855936,-0.6930881,0.124682754,-0.17944029
-0.5486139,-0.4180578,-0.2609302,-0.2899331,-0.2599067,-0.45176446,0.19423218,-0.22053319
-0.5775651,-0.21751033,-0.1100779,-0.26278046,-0.47555432,-0.49599066,0.17416869,0.16137235
-0.44246158,-0.17829944,0.08277779,0.16915503,-0.5193506,-0.4561923,0.47640356,0.09972107
-0.52995336,-0.08454479,0.03550732,-0.036872398,-0.5533223,-0.5123167,0.3101103,0.17224954
-0.4387993,-0.36172867,-0.0017195599,-0.1917636,-0.4768802,-0.46762642,0.39009663,-0.1652007
-0.4850197,-0.40554574,-0.104281455,-0.105656475,-0.36418313,-0.48869774,0.3762492,-0.22164758
-0.17214832,-0.44086266,-0.18517134,0.046204694,-0.41304046,-0.7059407,0.16044877,-0.16150232
-0.42915297,-0.3597599,-0.26407877,-0.20402882,-0.38851658,-0.6364202,0.062570944,-0.048066054
-0.39290178,-0.39026085,-0.07253119,-0.21100987,-0.51039076,-0.5533262,0.25624445,0.024082845
-0.65714836,-0.06068891,-0.18801644,-0.28415364,-0.39067712,-0.47852585,0.008322172,0.23450632
-0.38632572,-0.40581074,-0.080343224,-0.11114424,-0.4645425,-0.5601781,0.3243144,-0.13545994
-0.3473152,-0.25716898,-0.102787614,-0.057093233,-0.53255934,-0.68813455,0.15558293,0.054506637
-0.7437476,-0.093040496,-0.17626946,-0.29390407,-0.3365459,-0.40941086,0.13404304,0.08678545
-0.5221234,-0.37925056,-0.1939974,-0.041378792,-0.37254915,-0.53714406,0.3015865,-0.09332438
-0.57569456,-0.20830925,-0.0965766,-0.11905855,-0.48586762,-0.51641226,0.24625036,0.16305417
-0.5598089,-0.36179096,-0.199774,-0.24530593,-0.40010005,-0.49614805,0.20413198,-0.004013643
-0.48278508,-0.34312603,0.084015265,-0.126039,-0.39442924,-0.37221894,0.5210003,-0.19217058
-0.6672383,-0.25523221,-0.16751021,0.022356058,-0.34192127,-0.432259,0.3588493,0.0027380174
-0.0296718,-0.31572795,0.17533976,-0.090067066,-0.60821545,-0.61463696,0.29024172,-0.076997995
-0.31744862,-0.386756,0.029441934,-0.13614646,-0.52211666,-0.54705274,0.3665493,-0.09812061
-0.42225775,-0.277398,-0.16549072,-0.32628834,-0.45248657,-0.6205798,0.03911843,0.018874936
-0.38820156,-0.29762787,-0.09846647,-0.19926918,-0.50874674,-0.64084625,0.16814332,-0.022133546
-0.51007515,-0.30940855,0.03664815,-0.31973892,-0.4431941,-0.39845017,0.38697326,-0.13224334
-0.3290409,-0.037442233,0.25655112,-0.06750472,-0.64182454,-0.4590063,0.3708738,0.1977763
-0.49008122,-0.1723971,-0.06430551,-0.0500134,-0.5366902,-0.5922161,0.23156983,0.13592862
-0.54427326,-0.15957436,-0.13210265,-0.28059793,-0.46650213,-0.58078,0.087025754,0.06152563
-0.408173,-0.33700794,-0.0013997366,-0.11540266,-0.54296404,-0.5257846,0.34359723,0.078569606
-0.3688275,-0.14584826,0.04577236,-0.10903483,-0.6058853,-0.61799365,0.21694109,0.13266994
-0.6339026,-0.01177554,-0.03358189,-0.11118242,-0.48987406,-0.4856666,0.21373741,0.21373424
-0.5511452,-0.3464447,-0.050658677,-0.20124452,-0.43215004,-0.42952847,0.3803637,-0.07923326
-0.5754146,-0.05850903,-0.22124894,-0.25300464,-0.40127942,-0.5708231,-0.0688689,0.21358909
-0.64729047,-0.21584426,-0.16074522,-0.23561135,-0.41603088,-0.47813067,0.19147833,0.07472621
-0.5848322,-0.2732096,-0.22281006,-0.21689926,-0.40751007,-0.53948027,0.12643299,0.06956228
-0.22789063,-0.49987715,-0.21393208,-0.1165559,-0.33551267,-0.633912,0.15193252,-0.2836938
-0.3232626,-0.4617095,-0.1152583,-0.17226376,-0.39044872,-0.570615,0.27001393,-0.26386768
-0.58081824,-0.3818186,-0.14291541,-0.2630648,-0.27520376,-0.37129602,0.34496853,-0.27991125
-0.2618782,-0.29755816,0.20130308,-0.04168781,-0.5738142,-0.45977956,0.49172878,-0.0507671
-0.55499256,-0.2856226,-0.07115707,-0.20800443,-0.4796524,-0.48272702,0.2829162,0.094753206
-0.1915212,-0.46099424,-0.06126076,-0.068357326,-0.47345906,-0.6290627,0.27168775,-0.17980699
-0.49799022,-0.22689183,-0.0025308002,-0.11921797,-0.54314166,-0.50908935,0.31880862,0.13987994
-0.3951533,-0.27859643,-0.27549702,-0.09630717,-0.40106198,-0.706743,0.0024794785,0.0013232855
-0.12296098,-0.18744957,0.2621529,-0.06685924,-0.6589877,-0.54444265,0.3482035,0.06779378
-0.48918238,-0.30765912,-0.038365394,-0.33428657,-0.48793733,-0.48811582,0.24735695,0.024184639
-0.49043533,-0.27545485,-0.15588678,-0.2079234,-0.4777843,-0.585052,0.12918463,0.1395895
-0.46217746,-0.35918924,-0.046146005,-0.20430821,-0.50172734,-0.49357435,0.3283126,-0.021792803
-0.0811935,-0.21007742,0.28568304,0.20645885,-0.58851385,-0.45885867,0.495045,0.03321062
-0.56063044,-0.38149095,-0.10112093,-0.27430156,-0.36460286,-0.40544394,0.3445554,-0.16695295
-0.39949223,-0.47148132,-0.27371007,-0.22152582,-0.25807893,-0.54947644,0.14871728,-0.2873898
-0.40494376,-0.40433535,-0.07462268,-0.27671415,-0.44661877,-0.53550375,0.26607922,-0.13199022
-0.4113068,-0.25106508,-0.0560003,-0.12417444,-0.5495757,-0.61567247,0.20851488,0.11576046
-0.62762153,0.08158824,-0.12656367,-0.20710607,-0.4267469,-0.49570796,-0.019041875,0.30686072
-0.6701369,-0.26023448,-0.26529375,-0.329637,-0.30328298,-0.44187325,0.09153346,0.02321801
-0.49609023,-0.41957465,-0.1469811,-0.24721864,-0.35931566,-0.4809545,0.2878694,-0.19864886
-0.6675456,-0.29761752,-0.25068265,-0.28653437,-0.27417976,-0.428865,0.18600394,-0.11969909
-0.4573674,-0.33097258,0.0328094,-0.1286685,-0.5028578,-0.4674193,0.42271093,-0.029816141
-0.2091315,-0.3804377,0.042094823,-0.061291717,-0.55643123,-0.6087627,0.3258042,-0.076095164
-0.5490106,-0.3244746,-0.14467284,-0.26972607,-0.45040148,-0.49074912,0.20841281,0.06505644
-0.15539144,-0.3874485,0.14347453,-0.07435443,-0.5251188,-0.5422868,0.41206917,-0.19645998
-0.3431199,-0.3802552,-0.07736681,-0.08110737,-0.5156072,-0.6095001,0.2748494,-0.012039301
-0.28566808,-0.19005491,0.23055695,-0.062037494,-0.62369925,-0.46734384,0.44260022,0.082473785
-0.36448413,-0.35852408,0.08855364,-0.06353459,-0.48261175,-0.47960973,0.47247022,-0.15045488
-0.60546494,-0.3169754,-0.035975747,-0.21323405,-0.3428423,-0.34236932,0.43950042,-0.1975004
-0.64811265,-0.18275863,-0.18648772,-0.3061455,-0.40214851,-0.46455255,0.09684033,0.15099049
-0.37419745,-0.44083986,-0.24299575,-0.016809648,-0.34110752,-0.62491,0.20713334,-0.19249456
-0.6211558,-0.37434882,-0.19233264,-0.3157294,-0.30870646,-0.3901795,0.25943196,-0.11909937
-0.658808,-0.15668349,-0.23322406,-0.25491282,-0.35676146,-0.5232777,0.06924334,0.052947197
-0.5812806,-0.09690083,-0.037165657,-0.24487227,-0.5095429,-0.49919158,0.17210117,0.20218396
-0.4055542,-0.16512959,0.14411552,-0.0044329753,-0.5868559,-0.47816524,0.42997774,0.119347125
-0.54403585,-0.0051273056,-0.061688285,-0.24529782,-0.50601554,-0.5404183,0.04110162,0.2735138
-0.5179278,-0.20780332,0.060769945,-0.19106655,-0.5302314,-0.46359897,0.36832243,0.04294255
-0.23138714,-0.45940107,-0.3663524,-0.11915736,-0.20943753,-0.6542041,-0.026269183,-0.29072252
-0.26668185,-0.2506818,0.12826158,-0.103059456,-0.6236527,-0.5631395,0.33212885,0.09159198
-0.40834996,-0.22284107,0.038522284,-0.017361775,-0.57863826,-0.5497701,0.33879048,0.1313337
-0.22691911,-0.39688423,-0.28333884,-0.10064773,-0.35469076,-0.72860736,-0.008177476,-0.15745528
-0.61630946,-0.34647438,-0.1776366,-0.31387332,-0.3654169,-0.41875452,0.23192164,-0.022917492
-0.28932223,-0.34914333,0.01119317,0.068923905,-0.531314,-0.5891163,0.3792449,-0.029858287
-0.6042429,-0.3626684,-0.1927014,-0.18890575,-0.3219789,-0.4402336,0.3032527,-0.16790695
-0.30037865,-0.37871385,-0.20213413,-0.08820161,-0.44205004,-0.6977526,0.11567164,-0.08465618
-0.451392,-0.25208804,-0.030162144,-0.19042759,-0.54740417,-0.5592561,0.26493496,-0.0062152045
-0.42910427,0.030145284,0.13392761,-0.035360925,-0.60527325,-0.5180301,0.24583405,0.2805013
-0.4451446,-0.35137457,-0.040987026,0.050338,-0.45355853,-0.51261663,0.42757314,-0.06230739
-0.41520295,-0.36341745,-0.33868387,0.22741804,-0.27168676,-0.5970295,0.1867001,-0.08899016
-0.70064723,-0.16206926,-0.25453332,-0.32561666,-0.31080633,-0.43552983,0.034942936,0.117448986
-0.41447896,-0.32522765,-0.3736975,-0.21500562,-0.27339578,-0.6478849,-0.089271985,-0.09641003
-0.4473145,-0.06299048,-0.021751814,-0.14934984,-0.56728786,-0.6192998,0.11056257,0.19926351
-0.51963276,-0.22974077,0.06084076,-0.013740711,-0.4902457,-0.4470243,0.46283123,0.020452516
-0.46787754,-0.17001805,0.090430744,-0.35459307,-0.54611504,-0.47727448,0.25342906,0.07968375
-0.43125814,-0.29759184,-0.093148895,0.024267774,-0.49926543,-0.6027896,0.29372466,0.03739651
-0.69165194,-0.21946147,-0.19961277,-0.32494214,-0.34845474,-0.41626126,0.143196,0.07255683
-0.51746863,-0.24945973,-0.17415152,-0.1198926,-0.46251136,-0.6088191,0.16453262,0.042815905
-0.6598523,-0.121082015,-0.04579754,-0.30247495,-0.43397272,-0.43990612,0.22961216,0.06827331
0.050842915,-0.1739055,0.42770118,0.0655158,-0.6073878,-0.3871105,0.48215494,0.0012424017
-0.1594691,-0.3563587,0.17838971,0.10403234,-0.51738393,-0.50270826,0.49572444,-0.13193956
-0.4116742,-0.13283212,0.12732802,-0.13849086,-0.6117093,-0.5057589,0.32716668,0.1603272
-0.3978507,-0.25402611,0.03476924,-0.20229872,-0.5802531,-0.539411,0.26711613,0.1557275
-0.4727842,-0.23958929,-0.14392607,0.36300206,-0.36768654,-0.4836455,0.38278154,0.09318951
0.03510098,-0.41594958,0.11843462,-0.14829111,-0.5111453,-0.6137615,0.25054306,-0.23594315
-0.12172995,-0.29858115,0.112695016,0.21384366,-0.55692166,-0.5898545,0.39758894,-0.023595095
-0.5572827,-0.24864091,-0.11263861,-0.22209254,-0.47326475,-0.5275208,0.22884895,-0.0076864255
0.06125066,-0.32376355,0.22960556,0.14406,-0.5578282,-0.55607754,0.39901623,-0.1128465
-0.46358448,-0.4189777,-0.24098708,-0.2599423,-0.3544528,-0.5546201,0.14543813,-0.1314875
-0.43385336,-0.21004136,0.21748406,-0.06712573,-0.5041055,-0.37883484,0.54050845,-0.0044272644
-0.32348514,-0.44556364,-0.15610829,-0.15579,-0.44839582,-0.62237036,0.19552203,-0.0913805
-0.44043484,-0.37093428,-0.17557542,-0.21760458,-0.45401365,-0.58959204,0.1561549,0.03201563
-0.5883344,-0.28303045,-0.3070155,-0.2840724,-0.31088588,-0.5365611,0.02577434,-0.0038658436
-0.17993464,-0.24558793,0.07908748,-0.016304491,-0.6090265,-0.66947937,0.25165504,0.009990415
-0.41679418,-0.26485088,0.0077747805,-0.050559748,-0.5550434,-0.54819506,0.36088866,-0.03691439
-0.5641489,0.10641724,0.008054122,-0.12775293,-0.52291477,-0.49906912,0.10230867,0.31638756
-0.43266204,-0.3273735,-0.1877048,-0.07775387,-0.45141974,-0.6436471,0.17704378,-0.030302348
-0.5541477,-0.2603705,-0.18171346,-0.28968582,-0.43783844,-0.52554715,0.09959201,0.14835842
-0.5046915,-0.15310375,-0.18544027,-0.22334665,-0.45686728,-0.6197954,0.002891441,0.17682908
-0.17770821,-0.3203427,0.13450073,0.036723025,-0.5902248,-0.5681754,0.40060014,-0.02811078
-0.089607775,-0.40533763,0.05225739,0.10275756,-0.514019,-0.6230181,0.34824798,-0.14882916
-0.71419024,-0.21241757,-0.15987472,-0.24747346,-0.34144855,-0.40495166,0.25428444,-0.015297251
-0.617404,-0.15164001,-0.19585806,-0.20754561,-0.41984624,-0.5292527,0.06941656,0.20869097
-0.4842199,-0.44529486,-0.21985596,-0.16848043,-0.27685443,-0.49133745,0.26917648,-0.2875234
-0.67775214,-0.007788892,-0.09314208,-0.27550328,-0.4268713,-0.45766672,0.10153952,0.19430906
-0.4423963,-0.18363275,-0.035419524,-0.29503086,-0.5445809,-0.5719175,0.12799416,0.16370757
-0.36075857,-0.4474683,-0.28456983,-0.17138223,-0.33198774,-0.6295408,0.09027325,-0.17050819
-0.48306715,-0.10231324,0.033497974,-0.1465358,-0.5722303,-0.5303405,0.22576626,0.24736258
-0.46609464,-0.40746546,-0.16915953,-0.19695878,-0.4277511,-0.5467209,0.23216629,-0.053809594
-0.63586015,-0.3247188,-0.14120671,-0.24151678,-0.37000132,-0.40304005,0.3148223,-0.06814217
-0.51820135,-0.16749355,-0.008128646,-0.22069207,-0.5449856,-0.5255727,0.23965783,0.1094666
-0.3079133,-0.31994432,0.016350456,-0.15864359,-0.5761571,-0.60031074,0.26629123,0.046179336
-0.41006398,-0.20253146,-0.14660768,-0.14894451,-0.4991775,-0.68411374,0.058542978,0.1008916
-0.5031702,-0.18579158,-0.081983946,-0.1853204,-0.5163792,-0.5660074,0.14779557,0.22766091
-0.4144473,-0.0999691,0.05811495,0.10480617,-0.57958084,-0.5523358,0.3183875,0.20742428
-0.5146058,-0.35040125,-0.23181973,-0.29065138,-0.39338627,-0.54652864,0.105476096,0.00267506
-0.5615769,-0.2918261,-0.13575612,-0.32078955,-0.39959103,-0.5034866,0.2023239,-0.09276704
-0.6580434,-0.2890031,-0.2208225,-0.25521538,-0.34842494,-0.45269912,0.18757841,0.0106087085
-0.55144566,-0.18812937,-0.06599922,0.06122185,-0.48920578,-0.51155126,0.33333412,0.1435647
-0.5780827,-0.06541902,-0.12626193,0.17985956,-0.4380119,-0.5269868,0.23021212,0.24994753
-0.6359881,-0.28151885,-0.088442884,-0.338598,-0.368746,-0.37663743,0.30595285,-0.097105525
-0.25106993,-0.1964767,0.14387362,0.084016,-0.6170021,-0.56451905,0.376923,0.11344349
-0.2541461,-0.22381161,0.21019854,0.10604263,-0.5907895,-0.46751374,0.4940163,0.050763417
-0.19130929,-0.31380874,0.17785417,-0.14277276,-0.6051738,-0.53550255,0.37699303,-0.035692833
-0.2628316,-0.44863734,-0.03402768,0.02644235,-0.41498402,-0.585629,0.37169185,-0.22905469
-0.29601407,-0.4066922,-0.16505343,-0.2871332,-0.4275504,-0.6356741,0.09679682,-0.13880752
-0.67865866,-0.301616,-0.16265558,-0.28184754,-0.28663838,-0.3432362,0.32017446,-0.16170736
-0.24668233,-0.37533206,-0.10484199,0.2266746,-0.44709012,-0.6303807,0.3235154,-0.080092095
-0.5673709,-0.12983154,-0.13404442,-0.14897466,-0.48801953,-0.5761343,0.1308826,0.15061142
-0.27990618,-0.1660473,0.22530624,-0.25632778,-0.6343797,-0.4870403,0.32641828,0.08438625
-0.53854346,-0.17774369,-0.3208241,-0.25581777,-0.3213921,-0.6078387,-0.100895375,0.08267096
-0.42391863,-0.43812215,-0.18681498,-0.16481842,-0.38520566,-0.56556547,0.23690596,-0.1718482
-0.30135316,-0.17872772,-0.004150526,0.1072235,-0.5736599,-0.6701361,0.23929279,0.10181454
